1. Bailey	1. Bella
2. Max 	2. Lucy 
3. Charlie 	3. Molly 
4. Buddy 	4. Daisy 
5. Rocky	5. Maggie 
6. Jake	6. Sophie 
7. Jack	7. Sadie
8. Toby	8. Chloe
9. Cody	9. Bailey
10. Buster	10. Lola
11. Duke	11. Zoe
12. Cooper	12. Abby
13. Riley	13. Ginger
14. Harley	14. Roxy
15. Bear	15. Gracie
16. Tucker	16. Coco
17. Murphy	17. Sasha
18. Lucky	18. Lily
19. Oliver	19. Angel
20. Sam	20. Princess
21. Oscar	21. Emma
22. Teddy	22. Annie
23. Winston	23. Rosie
24. Sammy	24. Ruby
25. Rusty	25. Lady
26. Shadow	26. Missy
27. Gizmo	27. Lilly
28. Bentley	28. Mia
29. Zeus	29. Katie
30. Jackson	30. Zoey
31. Baxter	31. Madison
32. Bandit	32. Stella
33. Gus	33. Penny
34. Samson	34. Belle
35. Milo	35. Casey
36. Rudy	36. Samantha
37. Louie	37. Holly
38. Hunter	38. Lexi
39. Casey	39. Lulu
40. Rocco	40. Brandy
41. Sparky	41. Jasmine
42. Joey	42. Shelby
43. Bruno	43. Sandy
44. Beau	44. Roxie
45. Dakota	45. Pepper
46. Maximus	46. Heidi
47. Romeo	47. Luna
48. Boomer	48. Dixie
49. Luke	49. Honey
50. Henry	50. Dakota
